momset,momnum,naics,region,gravity,davgrid,dav,orderedvio,laginv,violation,modelmoment1
1,2035,21,4,2,2,1,1,1,1,-1.282e-11
1,2055,21,4,2,2,1,2,1,0,-1.281e-11
1,2075,21,4,2,2,1,2,1,1,-1.294e-11
1,2096,21,4,3,2,1,1,0,0,6.433e-08
1,2116,21,4,3,2,1,1,0,1,2.676e-09
1,2136,21,4,3,2,1,2,0,0,.140075
1,2156,21,4,3,2,1,2,0,1,.0158276
1,2176,21,4,3,2,1,1,1,0,4.627e-11
1,2196,21,4,3,2,1,1,1,1,4.447e-11
1,2216,21,4,3,2,1,2,1,0,4.460e-11
1,2236,21,4,3,2,1,2,1,1,4.436e-11
1,2257,21,4,4,2,1,1,0,0,2.008e-08
1,2277,21,4,4,2,1,1,0,1,8.789e-10
1,2297,21,4,4,2,1,2,0,0,.150011
1,2317,21,4,4,2,1,2,0,1,.014693
1,2337,21,4,4,2,1,1,1,0,1.331e-11
1,2357,21,4,4,2,1,1,1,1,1.310e-11
1,2377,21,4,4,2,1,2,1,0,1.307e-11
1,2397,21,4,4,2,1,2,1,1,1.325e-11
1,2418,21,4,5,2,1,1,0,0,1.040e-07
1,2438,21,4,5,2,1,1,0,1,4.293e-09
1,2458,21,4,5,2,1,2,0,0,.139155
1,2478,21,4,5,2,1,2,0,1,.0156425
1,2498,21,4,5,2,1,1,1,0,-1.445e-10
1,2518,21,4,5,2,1,1,1,1,-1.463e-10
1,2538,21,4,5,2,1,2,1,0,-1.460e-10
1,2558,21,4,5,2,1,2,1,1,-1.463e-10
1,2579,21,5,1,2,1,1,0,0,3.874e-07
1,2599,21,5,1,2,1,1,0,1,1.124e-08
1,2619,21,5,1,2,1,2,0,0,.110448
1,2639,21,5,1,2,1,2,0,1,.014094
1,2659,21,5,1,2,1,1,1,0,2.701e-10
1,2679,21,5,1,2,1,1,1,1,2.674e-10
1,2699,21,5,1,2,1,2,1,0,2.672e-10
1,2719,21,5,1,2,1,2,1,1,2.672e-10
1,2740,21,5,2,2,1,1,0,0,-3.587e-08
1,2760,21,5,2,2,1,1,0,1,-1.048e-09
1,2780,21,5,2,2,1,2,0,0,.14632
1,2800,21,5,2,2,1,2,0,1,.0152631
1,2820,21,5,2,2,1,1,1,0,-2.536e-10
1,2840,21,5,2,2,1,1,1,1,-2.522e-10
1,2860,21,5,2,2,1,2,1,0,-2.526e-10
1,2880,21,5,2,2,1,2,1,1,-2.526e-10
1,2901,21,5,3,2,1,1,0,0,2.020e-07
1,2921,21,5,3,2,1,1,0,1,6.299e-09
1,2941,21,5,3,2,1,2,0,0,.115464
1,2961,21,5,3,2,1,2,0,1,.0145323
1,2981,21,5,3,2,1,1,1,0,3.115e-10
1,3001,21,5,3,2,1,1,1,1,3.104e-10
1,3021,21,5,3,2,1,2,1,0,3.106e-10
1,3041,21,5,3,2,1,2,1,1,3.104e-10
1,3062,21,5,4,2,1,1,0,0,1.472e-07
1,3082,21,5,4,2,1,1,0,1,5.450e-09
1,3102,21,5,4,2,1,2,0,0,.140928
1,3122,21,5,4,2,1,2,0,1,.0154386
1,3142,21,5,4,2,1,1,1,0,5.541e-10
