NAICS, region, gravity, DAVgrid, DAV, orderedvio, laginv, lag2inv, value
21, 1, 1, 11, 5.5, 1, 1, 0, -13.6308
21, 1, 1, 12, 6, 1, 1, 0, -18.7791
21, 1, 1, 13, 6.5, 1, 1, 0, -24.6541
21, 1, 1, 14, 7, 1, 1, 0, -31.0176
21, 1, 1, 15, 7.5, 1, 1, 0, -37.5569
21, 1, 1, 16, 8, 1, 1, 0, -43.9922
21, 1, 1, 17, 8.5, 1, 1, 0, -50.0421
21, 1, 1, 18, 9, 1, 1, 0, -55.3835
21, 1, 1, 19, 9.5, 1, 1, 0, -59.3988
21, 1, 1, 0, 0, 2, 1, 0, 0.0173946
21, 1, 1, 1, 0.5, 2, 1, 0, -0.0208014
21, 1, 1, 2, 1, 2, 1, 0, -0.104053
21, 1, 1, 3, 1.5, 2, 1, 0, -0.264747
21, 1, 1, 4, 2, 2, 1, 0, -0.554471
21, 1, 1, 5, 2.5, 2, 1, 0, -1.0492
21, 1, 1, 6, 3, 2, 1, 0, -1.83955
21, 1, 1, 7, 3.5, 2, 1, 0, -3.05236
21, 1, 1, 8, 4, 2, 1, 0, -4.82398
21, 1, 1, 9, 4.5, 2, 1, 0, -7.29894
21, 1, 1, 10, 5, 2, 1, 0, -10.6008
21, 1, 1, 11, 5.5, 2, 1, 0, -14.845
21, 1, 1, 12, 6, 2, 1, 0, -19.9059
21, 1, 1, 13, 6.5, 2, 1, 0, -25.5967
21, 1, 1, 14, 7, 2, 1, 0, -31.692
21, 1, 1, 15, 7.5, 2, 1, 0, -37.9514
21, 1, 1, 16, 8, 2, 1, 0, -44.1308
21, 1, 1, 17, 8.5, 2, 1, 0, -49.9912
21, 1, 1, 18, 9, 2, 1, 0, -55.2504
21, 1, 1, 19, 9.5, 2, 1, 0, -59.3392
21, 1, 1, 0, 0, 1, 1, 1, 0.397802
21, 1, 1, 1, 0.5, 1, 1, 1, 0.298376
21, 1, 1, 2, 1, 1, 1, 1, 0.177813
21, 1, 1, 3, 1.5, 1, 1, 1, 0.0157891
21, 1, 1, 4, 2, 1, 1, 1, -0.226307
21, 1, 1, 5, 2.5, 1, 1, 1, -0.60681
21, 1, 1, 6, 3, 1, 1, 1, -1.2181
21, 1, 1, 7, 3.5, 1, 1, 1, -2.1891
21, 1, 1, 8, 4, 1, 1, 1, -3.68331
21, 1, 1, 9, 4.5, 1, 1, 1, -5.88359
21, 1, 1, 10, 5, 1, 1, 1, -8.96899
21, 1, 1, 11, 5.5, 1, 1, 1, -13.0768
21, 1, 1, 12, 6, 1, 1, 1, -18.1174
21, 1, 1, 13, 6.5, 1, 1, 1, -23.9287
21, 1, 1, 14, 7, 1, 1, 1, -30.2697
21, 1, 1, 15, 7.5, 1, 1, 1, -36.8401
21, 1, 1, 16, 8, 1, 1, 1, -43.3593
21, 1, 1, 17, 8.5, 1, 1, 1, -49.5209
21, 1, 1, 18, 9, 1, 1, 1, -54.9871
21, 1, 1, 19, 9.5, 1, 1, 1, -59.1359
21, 1, 1, 0, 0, 2, 1, 1, -0.041447
21, 1, 1, 1, 0.5, 2, 1, 1, -0.125542
21, 1, 1, 2, 1, 2, 1, 1, -0.271242
21, 1, 1, 3, 1.5, 2, 1, 1, -0.514311
21, 1, 1, 4, 2, 2, 1, 1, -0.912208
21, 1, 1, 5, 2.5, 2, 1, 1, -1.53392
21, 1, 1, 6, 3, 2, 1, 1, -2.47609
21, 1, 1, 7, 3.5, 2, 1, 1, -3.85935
21, 1, 1, 8, 4, 2, 1, 1, -5.8151
21, 1, 1, 9, 4.5, 2, 1, 1, -8.47453
21, 1, 1, 10, 5, 2, 1, 1, -11.9508
21, 1, 1, 11, 5.5, 2, 1, 1, -16.3345
21, 1, 1, 12, 6, 2, 1, 1, -21.4743
21, 1, 1, 13, 6.5, 2, 1, 1, -27.1761
21, 1, 1, 14, 7, 2, 1, 1, -33.2188
21, 1, 1, 15, 7.5, 2, 1, 1, -39.375
21, 1, 1, 16, 8, 2, 1, 1, -45.4211
21, 1, 1, 17, 8.5, 2, 1, 1, -51.1366
21, 1, 1, 18, 9, 2, 1, 1, -56.2491
21, 1, 1, 19, 9.5, 2, 1, 1, -60.1787
21, 1, 4, 0, 0, 0, 0, 0, -0.153355
21, 1, 4, 0, 0, 1, 0, 0, 0.82895
21, 1, 4, 1, 0.5, 1, 0, 0, 0.722697
21, 1, 4, 2, 1, 1, 0, 0, 0.574927
21, 1, 4, 3, 1.5, 1, 0, 0, 0.35413
21, 1, 4, 4, 2, 1, 0, 0, 0.00650362
21, 1, 4, 5, 2.5, 1, 0, 0, -0.537824
21, 1, 4, 6, 3, 1, 0, 0, -1.37887
21, 1, 4, 7, 3.5, 1, 0, 0, -2.64269
21, 1, 4, 8, 4, 1, 0, 0, -4.45794
21, 1, 4, 9, 4.5, 1, 0, 0, -6.93873
21, 1, 4, 10, 5, 1, 0, 0, -10.1609
21, 1, 4, 11, 5.5, 1, 0, 0, -14.1452
21, 1, 4, 12, 6, 1, 0, 0, -18.7021
21, 1, 4, 13, 6.5, 1, 0, 0, -23.6308
21, 1, 4, 14, 7, 1, 0, 0, -28.7456
21, 1, 4, 15, 7.5, 1, 0, 0, -33.8777
21, 1, 4, 16, 8, 1, 0, 0, -38.8859
21, 1, 4, 17, 8.5, 1, 0, 0, -43.6315
21, 1, 4, 18, 9, 1, 0, 0, -47.8969
21, 1, 4, 19, 9.5, 1, 0, 0, -51.1235
21, 1, 4, 0, 0, 2, 0, 0, -0.862628
21, 1, 4, 1, 0.5, 2, 0, 0, -1.01826
21, 1, 4, 2, 1, 2, 0, 0, -1.24897
21, 1, 4, 3, 1.5, 2, 0, 0, -1.55708
21, 1, 4, 4, 2, 2, 0, 0, -1.98972
21, 1, 4, 5, 2.5, 2, 0, 0, -2.59876
21, 1, 4, 6, 3, 2, 0, 0, -3.45813
21, 1, 4, 7, 3.5, 2, 0, 0, -4.6486
21, 1, 4, 8, 4, 2, 0, 0, -6.26613
21, 1, 4, 9, 4.5, 2, 0, 0, -8.40711
21, 1, 4, 10, 5, 2, 0, 0, -11.1602
21, 1, 4, 11, 5.5, 2, 0, 0, -14.6121
21, 1, 4, 12, 6, 2, 0, 0, -18.6725
21, 1, 4, 13, 6.5, 2, 0, 0, -23.2149
21, 1, 4, 14, 7, 2, 0, 0, -28.0942
21, 1, 4, 15, 7.5, 2, 0, 0, -33.1588
21, 1, 4, 16, 8, 2, 0, 0, -38.2544
21, 1, 4, 17, 8.5, 2, 0, 0, -43.2146
21, 1, 4, 18, 9, 2, 0, 0, -47.8066
21, 1, 4, 19, 9.5, 2, 0, 0, -51.4774
21, 1, 4, 0, 0, 1, 0, 1, 0.780223
21, 1, 4, 1, 0.5, 1, 0, 1, 0.667718
21, 1, 4, 2, 1, 1, 0, 1, 0.512666
21, 1, 4, 3, 1.5, 1, 0, 1, 0.283232
21, 1, 4, 4, 2, 1, 0, 1, -0.0730974
21, 1, 4, 5, 2.5, 1, 0, 1, -0.625503
21, 1, 4, 6, 3, 1, 0, 1, -1.47018
21, 1, 4, 7, 3.5, 1, 0, 1, -2.72526
21, 1, 4, 8, 4, 1, 0, 1, -4.51039
21, 1, 4, 9, 4.5, 1, 0, 1, -6.93203
21, 1, 4, 10, 5, 1, 0, 1, -10.066
21, 1, 4, 11, 5.5, 1, 0, 1, -13.9404
21, 1, 4, 12, 6, 1, 0, 1, -18.3898
21, 1, 4, 13, 6.5, 1, 0, 1, -23.2388
21, 1, 4, 14, 7, 1, 0, 1, -28.3234
21, 1, 4, 15, 7.5, 1, 0, 1, -33.4717
21, 1, 4, 16, 8, 1, 0, 1, -38.5404
21, 1, 4, 17, 8.5, 1, 0, 1, -43.3693
21, 1, 4, 18, 9, 1, 0, 1, -47.7251
21, 1, 4, 19, 9.5, 1, 0, 1, -51.0362
21, 1, 4, 0, 0, 2, 0, 1, -0.839592
21, 1, 4, 1, 0.5, 2, 0, 1, -1.01207
21, 1, 4, 2, 1, 2, 0, 1, -1.25417
21, 1, 4, 3, 1.5, 2, 0, 1, -1.58296
21, 1, 4, 4, 2, 2, 0, 1, -2.04559
21, 1, 4, 5, 2.5, 2, 0, 1, -2.69681
21, 1, 4, 6, 3, 2, 0, 1, -3.61063
21, 1, 4, 7, 3.5, 2, 0, 1, -4.87592
21, 1, 4, 8, 4, 2, 0, 1, -6.58333
21, 1, 4, 9, 4.5, 2, 0, 1, -8.8276
21, 1, 4, 10, 5, 2, 0, 1, -11.6937
21, 1, 4, 11, 5.5, 2, 0, 1, -15.2512
21, 1, 4, 12, 6, 2, 0, 1, -19.3921
21, 1, 4, 13, 6.5, 2, 0, 1, -23.984
21, 1, 4, 14, 7, 2, 0, 1, -28.8805
21, 1, 4, 15, 7.5, 2, 0, 1, -33.932
21, 1, 4, 16, 8, 2, 0, 1, -38.9908
21, 1, 4, 17, 8.5, 2, 0, 1, -43.893
21, 1, 4, 18, 9, 2, 0, 1, -48.4052
21, 1, 4, 19, 9.5, 2, 0, 1, -51.9677
21, 1, 4, 0, 0, 1, 1, 0, 0.661608
21, 1, 4, 1, 0.5, 1, 1, 0, 0.549833
21, 1, 4, 2, 1, 1, 1, 0, 0.404618
21, 1, 4, 3, 1.5, 1, 1, 0, 0.201139
21, 1, 4, 4, 2, 1, 1, 0, -0.103327
21, 1, 4, 5, 2.5, 1, 1, 0, -0.567324
21, 1, 4, 6, 3, 1, 1, 0, -1.27492
21, 1, 4, 7, 3.5, 1, 1, 0, -2.33911
21, 1, 4, 8, 4, 1, 1, 0, -3.88442
21, 1, 4, 9, 4.5, 1, 1, 0, -6.04104
21, 1, 4, 10, 5, 1, 1, 0, -8.92265
21, 1, 4, 11, 5.5, 1, 1, 0, -12.6037
21, 1, 4, 12, 6, 1, 1, 0, -16.9728
21, 1, 4, 13, 6.5, 1, 1, 0, -21.8723
21, 1, 4, 14, 7, 1, 1, 0, -27.1206
21, 1, 4, 15, 7.5, 1, 1, 0, -32.5032
21, 1, 4, 16, 8, 1, 1, 0, -37.8316
21, 1, 4, 17, 8.5, 1, 1, 0, -42.9019
21, 1, 4, 18, 9, 1, 1, 0, -47.4508
21, 1, 4, 19, 9.5, 1, 1, 0, -50.9117
21, 1, 4, 0, 0, 2, 1, 0, 0.0579154
21, 1, 4, 1, 0.5, 2, 1, 0, 0.0293891
21, 1, 4, 2, 1, 2, 1, 0, -0.0425274
21, 1, 4, 3, 1.5, 2, 1, 0, -0.187951
21, 1, 4, 4, 2, 2, 1, 0, -0.454163
21, 1, 4, 5, 2.5, 2, 1, 0, -0.910314
21, 1, 4, 6, 3, 2, 1, 0, -1.64075
21, 1, 4, 7, 3.5, 2, 1, 0, -2.73929
21, 1, 4, 8, 4, 2, 1, 0, -4.32378
21, 1, 4, 9, 4.5, 2, 1, 0, -6.48715
21, 1, 4, 10, 5, 2, 1, 0, -9.3217
21, 1, 4, 11, 5.5, 2, 1, 0, -12.9013
21, 1, 4, 12, 6, 2, 1, 0, -17.118
21, 1, 4, 13, 6.5, 2, 1, 0, -21.827
21, 1, 4, 14, 7, 2, 1, 0, -26.8638
21, 1, 4, 15, 7.5, 2, 1, 0, -32.0583
21, 1, 4, 16, 8, 2, 1, 0, -37.2412
21, 1, 4, 17, 8.5, 2, 1, 0, -42.2382
21, 1, 4, 18, 9, 2, 1, 0, -46.8159
21, 1, 4, 19, 9.5, 2, 1, 0, -50.4608
21, 1, 4, 0, 0, 1, 1, 1, 0.475631
21, 1, 4, 1, 0.5, 1, 1, 1, 0.367505
21, 1, 4, 2, 1, 1, 1, 1, 0.234264
21, 1, 4, 3, 1.5, 1, 1, 1, 0.0547151
21, 1, 4, 4, 2, 1, 1, 1, -0.210197
21, 1, 4, 5, 2.5, 1, 1, 1, -0.617651
21, 1, 4, 6, 3, 1, 1, 1, -1.25027
21, 1, 4, 7, 3.5, 1, 1, 1, -2.22032
21, 1, 4, 8, 4, 1, 1, 1, -3.65681
21, 1, 4, 9, 4.5, 1, 1, 1, -5.6969
21, 1, 4, 10, 5, 1, 1, 1, -8.46411
21, 1, 4, 11, 5.5, 1, 1, 1, -12.04
21, 1, 4, 12, 6, 1, 1, 1, -16.3271
21, 1, 4, 13, 6.5, 1, 1, 1, -21.1902
21, 1, 4, 14, 7, 1, 1, 1, -26.4447
21, 1, 4, 15, 7.5, 1, 1, 1, -31.8792
21, 1, 4, 16, 8, 1, 1, 1, -37.2983
21, 1, 4, 17, 8.5, 1, 1, 1, -42.477
21, 1, 4, 18, 9, 1, 1, 1, -47.1397
21, 1, 4, 19, 9.5, 1, 1, 1, -50.7135
21, 1, 4, 0, 0, 2, 1, 1, 0.0190196
21, 1, 4, 1, 0.5, 2, 1, 1, -0.0497171
21, 1, 4, 2, 1, 2, 1, 1, -0.176807
21, 1, 4, 3, 1.5, 2, 1, 1, -0.394177
21, 1, 4, 4, 2, 2, 1, 1, -0.751577
21, 1, 4, 5, 2.5, 2, 1, 1, -1.31868
21, 1, 4, 6, 3, 2, 1, 1, -2.16739
21, 1, 4, 7, 3.5, 2, 1, 1, -3.40094
21, 1, 4, 8, 4, 2, 1, 1, -5.11376
21, 1, 4, 9, 4.5, 2, 1, 1, -7.40655
21, 1, 4, 10, 5, 2, 1, 1, -10.351
21, 1, 4, 11, 5.5, 2, 1, 1, -14.0125
21, 1, 4, 12, 6, 2, 1, 1, -18.2718
21, 1, 4, 13, 6.5, 2, 1, 1, -22.9807
21, 1, 4, 14, 7, 2, 1, 1, -27.982
21, 1, 4, 15, 7.5, 2, 1, 1, -33.1155
21, 1, 4, 16, 8, 2, 1, 1, -38.2227
21, 1, 4, 17, 8.5, 2, 1, 1, -43.1372
21, 1, 4, 18, 9, 2, 1, 1, -47.628
21, 1, 4, 19, 9.5, 2, 1, 1, -51.1637
21, 1, 5, 0, 0, 0, 0, 0, -0.0982586
21, 1, 5, 0, 0, 1, 0, 0, 0.822525
21, 1, 5, 1, 0.5, 1, 0, 0, 0.710004
21, 1, 5, 2, 1, 1, 0, 0, 0.548335
21, 1, 5, 3, 1.5, 1, 0, 0, 0.29865
21, 1, 5, 4, 2, 1, 0, 0, -0.107427
21, 1, 5, 5, 2.5, 1, 0, 0, -0.765247
21, 1, 5, 6, 3, 1, 0, 0, -1.81151
21, 1, 5, 7, 3.5, 1, 0, 0, -3.42426
21, 1, 5, 8, 4, 1, 0, 0, -5.78933
21, 1, 5, 9, 4.5, 1, 0, 0, -9.07419
21, 1, 5, 10, 5, 1, 0, 0, -13.3895
21, 1, 5, 11, 5.5, 1, 0, 0, -18.7558
