momset,momnum,naics,region,gravity,davgrid,dav,orderedvio,laginv,violation,datamoment
1,2337,21,4,4,2,1,1,1,0,.000488
1,2357,21,4,4,2,1,1,1,1,0
1,2377,21,4,4,2,1,2,1,0,0
1,2397,21,4,4,2,1,2,1,1,0
1,2418,21,4,5,2,1,1,0,0,.0018108
1,2438,21,4,5,2,1,1,0,1,0
1,2458,21,4,5,2,1,2,0,0,0
1,2478,21,4,5,2,1,2,0,1,0
1,2498,21,4,5,2,1,1,1,0,.00031221
1,2518,21,4,5,2,1,1,1,1,0
1,2538,21,4,5,2,1,2,1,0,0
1,2558,21,4,5,2,1,2,1,1,0
1,2579,21,5,1,2,1,1,0,0,.0035552
1,2599,21,5,1,2,1,1,0,1,.00014363
1,2619,21,5,1,2,1,2,0,0,.00088172
1,2639,21,5,1,2,1,2,0,1,.00004556
1,2659,21,5,1,2,1,1,1,0,.00012622
1,2679,21,5,1,2,1,1,1,1,.00003921
1,2699,21,5,1,2,1,2,1,0,.00004732
1,2719,21,5,1,2,1,2,1,1,0
1,2740,21,5,2,2,1,1,0,0,0
1,2760,21,5,2,2,1,1,0,1,0
1,2780,21,5,2,2,1,2,0,0,0
1,2800,21,5,2,2,1,2,0,1,0
1,2820,21,5,2,2,1,1,1,0,0
1,2840,21,5,2,2,1,1,1,1,0
1,2860,21,5,2,2,1,2,1,0,0
1,2880,21,5,2,2,1,2,1,1,0
1,2901,21,5,3,2,1,1,0,0,0
1,2921,21,5,3,2,1,1,0,1,0
1,2941,21,5,3,2,1,2,0,0,0
1,2961,21,5,3,2,1,2,0,1,0
1,2981,21,5,3,2,1,1,1,0,.00268097
1,3001,21,5,3,2,1,1,1,1,0
1,3021,21,5,3,2,1,2,1,0,0
1,3041,21,5,3,2,1,2,1,1,0
1,3062,21,5,4,2,1,1,0,0,.00137505
1,3082,21,5,4,2,1,1,0,1,0
1,3102,21,5,4,2,1,2,0,0,.00409015
1,3122,21,5,4,2,1,2,0,1,.00017432
