NAICS, region, gravity, DAVgrid, DAV, orderedvio, laginv, violation, value
21, 1, 1, 11, 5.5, 1, 1, 0, -9.9951
21, 1, 1, 12, 6, 1, 1, 0, -13.8121
21, 1, 1, 13, 6.5, 1, 1, 0, -18.2883
21, 1, 1, 14, 7, 1, 1, 0, -23.3039
21, 1, 1, 15, 7.5, 1, 1, 0, -28.7136
21, 1, 1, 16, 8, 1, 1, 0, -34.3329
21, 1, 1, 17, 8.5, 1, 1, 0, -39.9634
21, 1, 1, 18, 9, 1, 1, 0, -45.4208
21, 1, 1, 19, 9.5, 1, 1, 0, -50.5253
21, 1, 1, 0, 0, 1, 1, 1, 0.490091
21, 1, 1, 1, 0.5, 1, 1, 1, 0.303338
21, 1, 1, 2, 1, 1, 1, 1, 0.0229284
21, 1, 1, 3, 1.5, 1, 1, 1, -0.399689
21, 1, 1, 4, 2, 1, 1, 1, -1.0348
21, 1, 1, 5, 2.5, 1, 1, 1, -1.97119
21, 1, 1, 6, 3, 1, 1, 1, -3.31078
21, 1, 1, 7, 3.5, 1, 1, 1, -5.15957
21, 1, 1, 8, 4, 1, 1, 1, -7.61736
21, 1, 1, 9, 4.5, 1, 1, 1, -10.7694
21, 1, 1, 10, 5, 1, 1, 1, -14.6783
21, 1, 1, 11, 5.5, 1, 1, 1, -19.3181
21, 1, 1, 12, 6, 1, 1, 1, -24.4609
21, 1, 1, 13, 6.5, 1, 1, 1, -29.9518
21, 1, 1, 14, 7, 1, 1, 1, -35.5939
21, 1, 1, 15, 7.5, 1, 1, 1, -41.195
21, 1, 1, 16, 8, 1, 1, 1, -46.5718
21, 1, 1, 17, 8.5, 1, 1, 1, -51.539
21, 1, 1, 18, 9, 1, 1, 1, -55.8377
21, 1, 1, 19, 9.5, 1, 1, 1, -58.8608
21, 1, 1, 0, 0, 2, 1, 0, -0.836505
21, 1, 1, 1, 0.5, 2, 1, 0, -1.00711
21, 1, 1, 2, 1, 2, 1, 0, -1.22922
21, 1, 1, 3, 1.5, 2, 1, 0, -1.52652
21, 1, 1, 4, 2, 2, 1, 0, -1.93191
21, 1, 1, 5, 2.5, 2, 1, 0, -2.48929
21, 1, 1, 6, 3, 2, 1, 0, -3.25461
21, 1, 1, 7, 3.5, 2, 1, 0, -4.29691
21, 1, 1, 8, 4, 2, 1, 0, -5.69672
21, 1, 1, 9, 4.5, 2, 1, 0, -7.54104
21, 1, 1, 10, 5, 2, 1, 0, -9.91846
21, 1, 1, 11, 5.5, 2, 1, 0, -13.0001
21, 1, 1, 12, 6, 2, 1, 0, -16.776
21, 1, 1, 13, 6.5, 2, 1, 0, -21.1407
21, 1, 1, 14, 7, 2, 1, 0, -25.9661
21, 1, 1, 15, 7.5, 2, 1, 0, -31.109
21, 1, 1, 16, 8, 2, 1, 0, -36.4207
21, 1, 1, 17, 8.5, 2, 1, 0, -41.7548
21, 1, 1, 18, 9, 2, 1, 0, -46.9694
21, 1, 1, 19, 9.5, 2, 1, 0, -51.9176
21, 1, 1, 0, 0, 2, 1, 1, -1.27982
21, 1, 1, 1, 0.5, 2, 1, 1, -1.59678
21, 1, 1, 2, 1, 2, 1, 1, -2.03172
21, 1, 1, 3, 1.5, 2, 1, 1, -2.63225
21, 1, 1, 4, 2, 2, 1, 1, -3.45853
21, 1, 1, 5, 2.5, 2, 1, 1, -4.58405
21, 1, 1, 6, 3, 2, 1, 1, -6.0918
21, 1, 1, 7, 3.5, 2, 1, 1, -8.06937
21, 1, 1, 8, 4, 2, 1, 1, -10.6033
21, 1, 1, 9, 4.5, 2, 1, 1, -13.7717
21, 1, 1, 10, 5, 2, 1, 1, -17.6343
21, 1, 1, 11, 5.5, 2, 1, 1, -22.1425
21, 1, 1, 12, 6, 2, 1, 1, -27.0735
21, 1, 1, 13, 6.5, 2, 1, 1, -32.28
21, 1, 1, 14, 7, 2, 1, 1, -37.6126
21, 1, 1, 15, 7.5, 2, 1, 1, -42.927
21, 1, 1, 16, 8, 2, 1, 1, -48.0814
21, 1, 1, 17, 8.5, 2, 1, 1, -52.9179
21, 1, 1, 18, 9, 2, 1, 1, -57.1884
21, 1, 1, 19, 9.5, 2, 1, 1, -60.2667
21, 1, 4, 0, 0, 0, 0, 0, -0.151401
21, 1, 4, 0, 0, 1, 0, 0, 0.865241
21, 1, 4, 1, 0.5, 1, 0, 0, 0.770608
21, 1, 4, 2, 1, 1, 0, 0, 0.643476
21, 1, 4, 3, 1.5, 1, 0, 0, 0.462282
21, 1, 4, 4, 2, 1, 0, 0, 0.192407
21, 1, 4, 5, 2.5, 1, 0, 0, -0.210799
21, 1, 4, 6, 3, 1, 0, 0, -0.806785
21, 1, 4, 7, 3.5, 1, 0, 0, -1.67122
21, 1, 4, 8, 4, 1, 0, 0, -2.88998
21, 1, 4, 9, 4.5, 1, 0, 0, -4.54809
21, 1, 4, 10, 5, 1, 0, 0, -6.72168
21, 1, 4, 11, 5.5, 1, 0, 0, -9.54294
21, 1, 4, 12, 6, 1, 0, 0, -12.9598
21, 1, 4, 13, 6.5, 1, 0, 0, -16.8555
21, 1, 4, 14, 7, 1, 0, 0, -21.1076
21, 1, 4, 15, 7.5, 1, 0, 0, -25.5917
21, 1, 4, 16, 8, 1, 0, 0, -30.1789
21, 1, 4, 17, 8.5, 1, 0, 0, -34.7471
21, 1, 4, 18, 9, 1, 0, 0, -39.1875
21, 1, 4, 19, 9.5, 1, 0, 0, -43.3895
21, 1, 4, 0, 0, 1, 0, 1, 0.614322
21, 1, 4, 1, 0.5, 1, 0, 1, 0.418844
21, 1, 4, 2, 1, 1, 0, 1, 0.124174
21, 1, 4, 3, 1.5, 1, 0, 1, -0.317475
21, 1, 4, 4, 2, 1, 0, 1, -0.97139
21, 1, 4, 5, 2.5, 1, 0, 1, -1.91826
21, 1, 4, 6, 3, 1, 0, 1, -3.24433
21, 1, 4, 7, 3.5, 1, 0, 1, -5.03178
21, 1, 4, 8, 4, 1, 0, 1, -7.34955
21, 1, 4, 9, 4.5, 1, 0, 1, -10.2442
21, 1, 4, 10, 5, 1, 0, 1, -13.7345
21, 1, 4, 11, 5.5, 1, 0, 1, -17.7468
21, 1, 4, 12, 6, 1, 0, 1, -22.0794
21, 1, 4, 13, 6.5, 1, 0, 1, -26.6076
21, 1, 4, 14, 7, 1, 0, 1, -31.2021
21, 1, 4, 15, 7.5, 1, 0, 1, -35.7462
21, 1, 4, 16, 8, 1, 0, 1, -40.1326
21, 1, 4, 17, 8.5, 1, 0, 1, -44.2373
21, 1, 4, 18, 9, 1, 0, 1, -47.8431
21, 1, 4, 19, 9.5, 1, 0, 1, -50.4047
21, 1, 4, 0, 0, 2, 0, 0, -0.720248
21, 1, 4, 1, 0.5, 2, 0, 0, -0.843919
21, 1, 4, 2, 1, 2, 0, 0, -1.0216
21, 1, 4, 3, 1.5, 2, 0, 0, -1.25672
21, 1, 4, 4, 2, 2, 0, 0, -1.57736
21, 1, 4, 5, 2.5, 2, 0, 0, -2.0198
21, 1, 4, 6, 3, 2, 0, 0, -2.63093
21, 1, 4, 7, 3.5, 2, 0, 0, -3.46675
21, 1, 4, 8, 4, 2, 0, 0, -4.59021
21, 1, 4, 9, 4.5, 2, 0, 0, -6.07254
21, 1, 4, 10, 5, 2, 0, 0, -7.98035
21, 1, 4, 11, 5.5, 2, 0, 0, -10.4458
21, 1, 4, 12, 6, 2, 0, 0, -13.4711
21, 1, 4, 13, 6.5, 2, 0, 0, -16.9891
21, 1, 4, 14, 7, 2, 0, 0, -20.9119
21, 1, 4, 15, 7.5, 2, 0, 0, -25.1403
21, 1, 4, 16, 8, 2, 0, 0, -29.5698
21, 1, 4, 17, 8.5, 2, 0, 0, -34.0942
21, 1, 4, 18, 9, 2, 0, 0, -38.6043
21, 1, 4, 19, 9.5, 2, 0, 0, -42.9788
21, 1, 4, 0, 0, 2, 0, 1, -1.0623
21, 1, 4, 1, 0.5, 2, 0, 1, -1.31195
21, 1, 4, 2, 1, 2, 0, 1, -1.65631
21, 1, 4, 3, 1.5, 2, 0, 1, -2.13341
21, 1, 4, 4, 2, 2, 0, 1, -2.79446
21, 1, 4, 5, 2.5, 2, 0, 1, -3.69707
21, 1, 4, 6, 3, 2, 0, 1, -4.90781
21, 1, 4, 7, 3.5, 2, 0, 1, -6.49651
21, 1, 4, 8, 4, 2, 0, 1, -8.52833
21, 1, 4, 9, 4.5, 2, 0, 1, -11.0637
21, 1, 4, 10, 5, 2, 0, 1, -14.1587
21, 1, 4, 11, 5.5, 2, 0, 1, -17.7974
21, 1, 4, 12, 6, 2, 0, 1, -21.8151
21, 1, 4, 13, 6.5, 2, 0, 1, -26.109
21, 1, 4, 14, 7, 2, 0, 1, -30.5737
21, 1, 4, 15, 7.5, 2, 0, 1, -35.1027
21, 1, 4, 16, 8, 2, 0, 1, -39.5846
21, 1, 4, 17, 8.5, 2, 0, 1, -43.8852
21, 1, 4, 18, 9, 2, 0, 1, -47.7814
21, 1, 4, 19, 9.5, 2, 0, 1, -50.6779
21, 1, 4, 0, 0, 1, 1, 0, 0.811318
21, 1, 4, 1, 0.5, 1, 1, 0, 0.71151
21, 1, 4, 2, 1, 1, 1, 0, 0.578661
21, 1, 4, 3, 1.5, 1, 1, 0, 0.39111
21, 1, 4, 4, 2, 1, 1, 0, 0.115118
21, 1, 4, 5, 2.5, 1, 1, 0, -0.293123
21, 1, 4, 6, 3, 1, 1, 0, -0.890939
21, 1, 4, 7, 3.5, 1, 1, 0, -1.74946
21, 1, 4, 8, 4, 1, 1, 0, -2.94789
21, 1, 4, 9, 4.5, 1, 1, 0, -4.56407
21, 1, 4, 10, 5, 1, 1, 0, -6.66845
21, 1, 4, 11, 5.5, 1, 1, 0, -9.39303
21, 1, 4, 12, 6, 1, 1, 0, -12.699
21, 1, 4, 13, 6.5, 1, 1, 0, -16.4918
21, 1, 4, 14, 7, 1, 1, 0, -20.6701
21, 1, 4, 15, 7.5, 1, 1, 0, -25.121
21, 1, 4, 16, 8, 1, 1, 0, -29.7158
21, 1, 4, 17, 8.5, 1, 1, 0, -34.3268
21, 1, 4, 18, 9, 1, 1, 0, -38.8373
21, 1, 4, 19, 9.5, 1, 1, 0, -43.1223
21, 1, 4, 0, 0, 1, 1, 1, 0.548223
21, 1, 4, 1, 0.5, 1, 1, 1, 0.346229
21, 1, 4, 2, 1, 1, 1, 1, 0.0455888
21, 1, 4, 3, 1.5, 1, 1, 1, -0.400733
21, 1, 4, 4, 2, 1, 1, 1, -1.05523
21, 1, 4, 5, 2.5, 1, 1, 1, -1.99317
21, 1, 4, 6, 3, 1, 1, 1, -3.29392
21, 1, 4, 7, 3.5, 1, 1, 1, -5.03287
21, 1, 4, 8, 4, 1, 1, 1, -7.27527
21, 1, 4, 9, 4.5, 1, 1, 1, -10.0708
21, 1, 4, 10, 5, 1, 1, 1, -13.4484
21, 1, 4, 11, 5.5, 1, 1, 1, -17.3608
21, 1, 4, 12, 6, 1, 1, 1, -21.6284
21, 1, 4, 13, 6.5, 1, 1, 1, -26.1343
21, 1, 4, 14, 7, 1, 1, 1, -30.7458
21, 1, 4, 15, 7.5, 1, 1, 1, -35.3409
21, 1, 4, 16, 8, 1, 1, 1, -39.801
21, 1, 4, 17, 8.5, 1, 1, 1, -43.9893
21, 1, 4, 18, 9, 1, 1, 1, -47.6793
21, 1, 4, 19, 9.5, 1, 1, 1, -50.3109
21, 1, 4, 0, 0, 2, 1, 0, -0.704835
21, 1, 4, 1, 0.5, 2, 1, 0, -0.846887
21, 1, 4, 2, 1, 2, 1, 0, -1.04176
21, 1, 4, 3, 1.5, 2, 1, 0, -1.3024
21, 1, 4, 4, 2, 2, 1, 0, -1.65889
21, 1, 4, 5, 2.5, 2, 1, 0, -2.14903
21, 1, 4, 6, 3, 2, 1, 0, -2.81929
21, 1, 4, 7, 3.5, 2, 1, 0, -3.72632
21, 1, 4, 8, 4, 2, 1, 0, -4.93383
21, 1, 4, 9, 4.5, 2, 1, 0, -6.50568
21, 1, 4, 10, 5, 2, 1, 0, -8.508
21, 1, 4, 11, 5.5, 2, 1, 0, -11.0673
21, 1, 4, 12, 6, 2, 1, 0, -14.1753
21, 1, 4, 13, 6.5, 2, 1, 0, -17.7555
21, 1, 4, 14, 7, 2, 1, 0, -21.717
21, 1, 4, 15, 7.5, 2, 1, 0, -25.9603
21, 1, 4, 16, 8, 2, 1, 0, -30.3825
21, 1, 4, 17, 8.5, 2, 1, 0, -34.8803
21, 1, 4, 18, 9, 2, 1, 0, -39.3482
21, 1, 4, 19, 9.5, 2, 1, 0, -43.6663
21, 1, 4, 0, 0, 2, 1, 1, -1.08639
21, 1, 4, 1, 0.5, 2, 1, 1, -1.36398
21, 1, 4, 2, 1, 2, 1, 1, -1.74682
21, 1, 4, 3, 1.5, 2, 1, 1, -2.27469
21, 1, 4, 4, 2, 2, 1, 1, -2.99734
21, 1, 4, 5, 2.5, 2, 1, 1, -3.97494
